step,epoch,eval_crossner_science,eval_average,eval_runtime,eval_samples_per_second,eval_steps_per_second,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,total_pflos,train_loss
4,0.571,0.0,0.0,44.3198,2.256,0.023,,,,,,,,,
5,0.714,,,,,,0.8404,4.485086441040039,2e-05,,,,,,
7,1.0,0.0,0.0,20.986,4.765,0.048,,,,,,,,,
10,1.429,,,,,,0.5331,1.6561380624771118,2e-05,,,,,,
10,1.429,0.004535147387423964,0.004535147387423964,18.7229,5.341,0.053,,,,,,,,,
14,2.0,0.023668639027483483,0.023668639027483483,18.5649,5.387,0.054,,,,,,,,,
15,2.143,,,,,,0.2862,0.894524335861206,2e-05,,,,,,
18,2.571,0.21359223296150784,0.21359223296150784,18.9089,5.289,0.053,,,,,,,,,
20,2.857,,,,,,0.1975,0.5954477190971375,2e-05,,,,,,
21,3.0,0.258397932767088,0.258397932767088,18.6315,5.367,0.054,,,,,,,,,
24,3.429,0.3325062034240873,0.3325062034240873,19.2073,5.206,0.052,,,,,,,,,
25,3.571,,,,,,0.1581,0.5790635347366333,2e-05,,,,,,
28,4.0,0.4225690275609955,0.4225690275609955,18.9511,5.277,0.053,,,,,,,,,
30,4.286,,,,,,0.1248,0.4737177789211273,2e-05,,,,,,
32,4.571,0.47652582154613665,0.47652582154613665,18.6219,5.37,0.054,,,,,,,,,
35,5.0,,,,,,0.1023,0.3371675908565521,2e-05,,,,,,
35,5.0,0.5190476189975238,0.5190476189975238,18.6102,5.373,0.054,,,,,,,,,
38,5.429,0.5218446601441434,0.5218446601441434,18.5934,5.378,0.054,,,,,,,,,
40,5.714,,,,,,0.0881,0.3819752633571625,2e-05,,,,,,
42,6.0,0.5801886791951562,0.5801886791951562,18.613,5.373,0.054,,,,,,,,,
45,6.429,,,,,,0.073,0.34367161989212036,2e-05,,,,,,
46,6.571,0.5950413222639208,0.5950413222639208,18.6317,5.367,0.054,,,,,,,,,
49,7.0,0.6088992973737475,0.6088992973737475,18.6094,5.374,0.054,,,,,,,,,
50,7.143,,,,,,0.0731,0.31014662981033325,2e-05,,,,,,
52,7.429,0.5999999999498605,0.5999999999498605,18.5933,5.378,0.054,,,,,,,,,
55,7.857,,,,,,0.0696,0.3424815237522125,2e-05,,,,,,
56,8.0,0.6388888888387421,0.6388888888387421,18.6337,5.367,0.054,,,,,,,,,
60,8.571,,,,,,0.0653,0.3327234089374542,2e-05,,,,,,
60,8.571,0.6373117033102238,0.6373117033102238,18.6407,5.365,0.054,,,,,,,,,
63,9.0,0.6666666666165161,0.6666666666165161,18.7667,5.329,0.053,,,,,,,,,
65,9.286,,,,,,0.0606,0.2445635348558426,2e-05,,,,,,
66,9.429,0.664367816041808,0.664367816041808,18.6275,5.368,0.054,,,,,,,,,
70,10.0,,,,,,0.0564,0.30534154176712036,2e-05,,,,,,
70,10.0,0.6797687860770121,0.6797687860770121,18.6629,5.358,0.054,,,,,,,,,
74,10.571,0.6892523363984382,0.6892523363984382,18.61,5.373,0.054,,,,,,,,,
75,10.714,,,,,,0.0546,0.33594605326652527,2e-05,,,,,,
77,11.0,0.69150174616637,0.69150174616637,18.7798,5.325,0.053,,,,,,,,,
80,11.429,,,,,,0.0508,0.2825588285923004,2e-05,,,,,,
80,11.429,0.6850574712142169,0.6850574712142169,18.6413,5.364,0.054,,,,,,,,,
84,12.0,0.6735632183406564,0.6735632183406564,18.6069,5.374,0.054,,,,,,,,,
84,12.0,,,,,,,,,516.321,4.648,0.163,3314868526514176.0,3.314868526514176,0.17085193452380953
