[Average]_f1,crossner_ai_f1,crossner_ai_prec,crossner_ai_rec,crossner_literature_f1,crossner_literature_prec,crossner_literature_rec,crossner_music_f1,crossner_music_prec,crossner_music_rec,crossner_politics_f1,crossner_politics_prec,crossner_politics_rec,crossner_science_f1,crossner_science_prec,crossner_science_rec,epoch,mit-movie_f1,mit-movie_prec,mit-movie_rec,mit-restaurant_f1,mit-restaurant_prec,mit-restaurant_rec,step,train_loss
,,,,,,,,,,,,,,,,0.0035,,,,,,,1,1.8743141889572144
,,,,,,,,,,,,,,,,0.007,,,,,,,2,1.0012152194976807
,,,,,,,,,,,,,,,,0.0106,,,,,,,3,0.6552857160568237
,,,,,,,,,,,,,,,,0.0141,,,,,,,4,0.4375881850719452
,,,,,,,,,,,,,,,,0.0176,,,,,,,5,0.42171117663383484
,,,,,,,,,,,,,,,,0.0211,,,,,,,6,0.31975340843200684
,,,,,,,,,,,,,,,,0.0246,,,,,,,7,0.3864259719848633
,,,,,,,,,,,,,,,,0.0282,,,,,,,8,0.26732397079467773
,,,,,,,,,,,,,,,,0.0317,,,,,,,9,0.3114776611328125
,,,,,,,,,,,,,,,,0.0352,,,,,,,10,0.19887614250183105
,,,,,,,,,,,,,,,,0.0387,,,,,,,11,0.204634428024292
,,,,,,,,,,,,,,,,0.0423,,,,,,,12,0.1818118542432785
,,,,,,,,,,,,,,,,0.0458,,,,,,,13,0.1535843312740326
,,,,,,,,,,,,,,,,0.0493,,,,,,,14,0.1529923677444458
,,,,,,,,,,,,,,,,0.0528,,,,,,,15,0.14071747660636902
,,,,,,,,,,,,,,,,0.0563,,,,,,,16,0.11917385458946228
,,,,,,,,,,,,,,,,0.0599,,,,,,,17,0.11210561543703079
,,,,,,,,,,,,,,,,0.0634,,,,,,,18,0.1287119835615158
,,,,,,,,,,,,,,,,0.0669,,,,,,,19,0.07744697481393814
,,,,,,,,,,,,,,,,0.0704,,,,,,,20,0.11002791672945023
,,,,,,,,,,,,,,,,0.0739,,,,,,,21,0.08929188549518585
,,,,,,,,,,,,,,,,0.0775,,,,,,,22,0.10248866677284241
,,,,,,,,,,,,,,,,0.081,,,,,,,23,0.07350604981184006
0.3088371613535109,0.3768115941530771,0.44827586206741976,0.3249999999991875,0.14285714280985007,0.18918918918867786,0.11475409836046761,0.14598540141656988,0.23255813953434287,0.10638297872329108,0.1025641025141062,0.10909090909071074,0.09677419354823101,0.19354838704620186,0.18749999999941405,0.19999999999933335,0.0845,0.5913978494117297,0.5913978494617297,0.5913978494617297,0.6086956521230414,0.617647058822621,0.5999999999991429,24,0.08692072331905365
,,,,,,,,,,,,,,,,0.088,,,,,,,25,0.06943400204181671
,,,,,,,,,,,,,,,,0.0915,,,,,,,26,0.10461750626564026
,,,,,,,,,,,,,,,,0.0951,,,,,,,27,0.07345429807901382
,,,,,,,,,,,,,,,,0.0986,,,,,,,28,0.06890249252319336
,,,,,,,,,,,,,,,,0.1021,,,,,,,29,0.08107779920101166
,,,,,,,,,,,,,,,,0.1056,,,,,,,30,0.057563237845897675
,,,,,,,,,,,,,,,,0.1092,,,,,,,31,0.06866221129894257
,,,,,,,,,,,,,,,,0.1127,,,,,,,32,0.07455670833587646
,,,,,,,,,,,,,,,,0.1162,,,,,,,33,0.055355582386255264
,,,,,,,,,,,,,,,,0.1197,,,,,,,34,0.05974651873111725
,,,,,,,,,,,,,,,,0.1232,,,,,,,35,0.04743150994181633
,,,,,,,,,,,,,,,,0.1268,,,,,,,36,0.0871555358171463
,,,,,,,,,,,,,,,,0.1303,,,,,,,37,0.05874808505177498
,,,,,,,,,,,,,,,,0.1338,,,,,,,38,0.06299977004528046
,,,,,,,,,,,,,,,,0.1373,,,,,,,39,0.06521551311016083
,,,,,,,,,,,,,,,,0.1408,,,,,,,40,0.056572332978248596
,,,,,,,,,,,,,,,,0.1444,,,,,,,41,0.06614558398723602
,,,,,,,,,,,,,,,,0.1479,,,,,,,42,0.05558956786990166
,,,,,,,,,,,,,,,,0.1514,,,,,,,43,0.06356972455978394
,,,,,,,,,,,,,,,,0.1549,,,,,,,44,0.08367738127708435
,,,,,,,,,,,,,,,,0.1585,,,,,,,45,0.05164134502410889
,,,,,,,,,,,,,,,,0.162,,,,,,,46,0.04895384982228279
,,,,,,,,,,,,,,,,0.1655,,,,,,,47,0.042548052966594696
0.48654269945967504,0.5428571428066122,0.6333333333312222,0.4749999999988125,0.5523809523312109,0.6590909090894111,0.4754098360647944,0.2857142856697551,0.434782608694707,0.21276595744658217,0.3809523809032925,0.46511627906868575,0.32258064516077,0.2142857142352041,0.23076923076834321,0.19999999999933335,0.169,0.685082872877458,0.7045454545446539,0.6666666666659498,0.7445255473941925,0.7611940298496102,0.7285714285703877,48,0.0474797859787941
,,,,,,,,,,,,,,,,0.1725,,,,,,,49,0.04334095120429993
,,,,,,,,,,,,,,,,0.1761,,,,,,,50,0.06043452024459839
,,,,,,,,,,,,,,,,0.1796,,,,,,,51,0.047315966337919235
,,,,,,,,,,,,,,,,0.1831,,,,,,,52,0.062213994562625885
