[avg]_f1,[mem],crossner_ai_f1,crossner_ai_prec,crossner_ai_rec,crossner_literature_f1,crossner_literature_prec,crossner_literature_rec,crossner_music_f1,crossner_music_prec,crossner_music_rec,crossner_politics_f1,crossner_politics_prec,crossner_politics_rec,crossner_science_f1,crossner_science_prec,crossner_science_rec,epoch,loss,mit-movie_f1,mit-movie_prec,mit-movie_rec,mit-restaurant_f1,mit-restaurant_prec,mit-restaurant_rec,step
,18.59375,,,,,,,,,,,,,,,,0.0015,0.6285854578018188,,,,,,,1
,20.5546875,,,,,,,,,,,,,,,,0.003,0.5098879933357239,,,,,,,2
,20.5546875,,,,,,,,,,,,,,,,0.0045,0.5609480738639832,,,,,,,3
,21.55859375,,,,,,,,,,,,,,,,0.0061,0.31250283122062683,,,,,,,4
,21.560546875,,,,,,,,,,,,,,,,0.0076,3.2430989742279053,,,,,,,5
,21.560546875,,,,,,,,,,,,,,,,0.0091,0.5101286768913269,,,,,,,6
,21.560546875,,,,,,,,,,,,,,,,0.0106,0.359012633562088,,,,,,,7
,21.578125,,,,,,,,,,,,,,,,0.0121,0.25088390707969666,,,,,,,8
,21.578125,,,,,,,,,,,,,,,,0.0136,0.32894331216812134,,,,,,,9
,21.578125,,,,,,,,,,,,,,,,0.0151,0.22666051983833313,,,,,,,10
,21.578125,,,,,,,,,,,,,,,,0.0166,0.2102179080247879,,,,,,,11
,21.578125,,,,,,,,,,,,,,,,0.0182,0.21431151032447815,,,,,,,12
,21.578125,,,,,,,,,,,,,,,,0.0197,0.19002147018909454,,,,,,,13
,21.578125,,,,,,,,,,,,,,,,0.0212,0.17396950721740723,,,,,,,14
,21.578125,,,,,,,,,,,,,,,,0.0227,0.1681039184331894,,,,,,,15
,21.578125,,,,,,,,,,,,,,,,0.0242,0.16869047284126282,,,,,,,16
,21.578125,,,,,,,,,,,,,,,,0.0257,0.15888823568820953,,,,,,,17
,21.578125,,,,,,,,,,,,,,,,0.0272,0.16503199934959412,,,,,,,18
,21.578125,,,,,,,,,,,,,,,,0.0287,0.1407032012939453,,,,,,,19
,21.578125,,,,,,,,,,,,,,,,0.0303,0.131342813372612,,,,,,,20
,21.578125,,,,,,,,,,,,,,,,0.0318,0.13325735926628113,,,,,,,21
,21.578125,,,,,,,,,,,,,,,,0.0333,0.12621928751468658,,,,,,,22
,21.578125,,,,,,,,,,,,,,,,0.0348,0.11506243795156479,,,,,,,23
,21.578125,,,,,,,,,,,,,,,,0.0363,0.12376182526350021,,,,,,,24
,25.134765625,,,,,,,,,,,,,,,,0.0378,0.12163694202899933,,,,,,,25
,25.134765625,,,,,,,,,,,,,,,,0.0393,0.12073811143636703,,,,,,,26
,25.134765625,,,,,,,,,,,,,,,,0.0408,0.11059732735157013,,,,,,,27
,25.134765625,,,,,,,,,,,,,,,,0.0424,0.10485489666461945,,,,,,,28
,25.134765625,,,,,,,,,,,,,,,,0.0439,0.10285743325948715,,,,,,,29
,25.134765625,,,,,,,,,,,,,,,,0.0454,0.09653013944625854,,,,,,,30
,25.134765625,,,,,,,,,,,,,,,,0.0469,0.10093539208173752,,,,,,,31
,25.134765625,,,,,,,,,,,,,,,,0.0484,0.10123133659362793,,,,,,,32
,25.134765625,,,,,,,,,,,,,,,,0.0499,0.10375227779150009,,,,,,,33
,25.134765625,,,,,,,,,,,,,,,,0.0514,0.0871753841638565,,,,,,,34
,25.134765625,,,,,,,,,,,,,,,,0.053,0.08899243175983429,,,,,,,35
,25.134765625,,,,,,,,,,,,,,,,0.0545,0.0931641235947609,,,,,,,36
,25.134765625,,,,,,,,,,,,,,,,0.056,0.0830925852060318,,,,,,,37
,25.134765625,,,,,,,,,,,,,,,,0.0575,0.08301877230405807,,,,,,,38
,25.134765625,,,,,,,,,,,,,,,,0.059,0.08125006407499313,,,,,,,39
0.19727922383747284,25.134765625,0.22386223857295814,0.25114995400181683,0.201923076923062,0.19734564334338572,0.21769573520049537,0.1804749340369298,0.18427285641804414,0.22922804949910258,0.15405940594058795,0.2298665808856061,0.23897058823528614,0.22143078352430406,0.232192648872998,0.2524807056229188,0.21492257156263656,0.0605,0.08746955543756485,0.22424922814091786,0.44711807498598505,0.14965349316351095,0.08916537062840017,0.2429378531073103,0.05460317460317287,40
,25.134765625,,,,,,,,,,,,,,,,0.062,0.07633393257856369,,,,,,,41
,25.134765625,,,,,,,,,,,,,,,,0.0635,0.08257540315389633,,,,,,,42
,25.134765625,,,,,,,,,,,,,,,,0.0651,0.07106570899486542,,,,,,,43
,25.134765625,,,,,,,,,,,,,,,,0.0666,0.08150424808263779,,,,,,,44
,25.134765625,,,,,,,,,,,,,,,,0.0681,0.07549472898244858,,,,,,,45
,25.134765625,,,,,,,,,,,,,,,,0.0696,0.07273181527853012,,,,,,,46
