[avg]_f1,[mem],crossner_ai_f1,crossner_ai_prec,crossner_ai_rec,crossner_literature_f1,crossner_literature_prec,crossner_literature_rec,crossner_music_f1,crossner_music_prec,crossner_music_rec,crossner_politics_f1,crossner_politics_prec,crossner_politics_rec,crossner_science_f1,crossner_science_prec,crossner_science_rec,epoch,joint_loss,mit-movie_f1,mit-movie_prec,mit-movie_rec,mit-restaurant_f1,mit-restaurant_prec,mit-restaurant_rec,step,train_loss
,16.8671875,,,,,,,,,,,,,,,,0.0008,0.8121545910835266,,,,,,,1,0.8121545910835266
,16.8671875,,,,,,,,,,,,,,,,0.0015,0.6615058183670044,,,,,,,2,0.6615058183670044
,16.8671875,,,,,,,,,,,,,,,,0.0023,0.5870383977890015,,,,,,,3,0.5870383977890015
,16.8671875,,,,,,,,,,,,,,,,0.003,1.5733445882797241,,,,,,,4,1.5733445882797241
,16.8671875,,,,,,,,,,,,,,,,0.0038,1.2262766361236572,,,,,,,5,1.2262766361236572
,16.87890625,,,,,,,,,,,,,,,,0.0045,0.2965010702610016,,,,,,,6,0.2965010702610016
,16.87890625,,,,,,,,,,,,,,,,0.0053,0.3596373498439789,,,,,,,7,0.3596373498439789
,16.87890625,,,,,,,,,,,,,,,,0.0061,0.2768497169017792,,,,,,,8,0.2768497169017792
,16.87890625,,,,,,,,,,,,,,,,0.0068,0.22640030086040497,,,,,,,9,0.22640030086040497
,16.87890625,,,,,,,,,,,,,,,,0.0076,0.21508173644542694,,,,,,,10,0.21508173644542694
,16.87890625,,,,,,,,,,,,,,,,0.0083,0.19012871384620667,,,,,,,11,0.19012871384620667
,16.87890625,,,,,,,,,,,,,,,,0.0091,0.19070382416248322,,,,,,,12,0.19070382416248322
,16.87890625,,,,,,,,,,,,,,,,0.0098,0.1701083481311798,,,,,,,13,0.1701083481311798
,16.87890625,,,,,,,,,,,,,,,,0.0106,0.1700613796710968,,,,,,,14,0.1700613796710968
,16.87890625,,,,,,,,,,,,,,,,0.0114,0.1367330104112625,,,,,,,15,0.1367330104112625
,16.87890625,,,,,,,,,,,,,,,,0.0121,0.16165737807750702,,,,,,,16,0.16165737807750702
,16.87890625,,,,,,,,,,,,,,,,0.0129,0.17113183438777924,,,,,,,17,0.17113183438777924
,16.87890625,,,,,,,,,,,,,,,,0.0136,0.15086579322814941,,,,,,,18,0.15086579322814941
,16.87890625,,,,,,,,,,,,,,,,0.0144,0.14094184339046478,,,,,,,19,0.14094184339046478
